"해당 자료는 2022년 01월 03일 추출한 자료입니다. K-apt 시스템은 실시간으로 수정, 변경이 가능한 시스템으로 기존 데이터가 수정 될 수 있으며, 엑셀자료는 단순 참조자료로 활용하여 주시기 바랍니다. 현 시점 정확한 자료는 제공되고 있는 OPENAPI를 참조하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
시도,시군구,읍면,동리,단지코드,단지명,연면적,건축물대장연면적,관리비부과면적,주거전용면적,동수,세대수,전용면적(40이하),전용면적(40초과60이하),전용면적(60초과85이하),전용면적(85초과105이하),전용면적(105초과125이하),전용면적(125초과)
강원도,속초시,,교동,A21780505,속초현대2차아파트,"28,374","27,607","27,373","22,255",4,255,0,0,225,0,30,0
경상북도,경산시,,사동,A71277604,사동2지구화성파크드림,"106,788","78,368","75,686","60,364",8,505,0,0,0,100,269,136
경기도,안양동안구,,평촌동,A43179302,향촌롯데,"62,305","48,958","53,173","40,205",8,530,0,188,342,0,0,0
대전광역시,대덕구,,송촌동,A30681301,송촌서오,"31,790","29,740","23,718","23,718",5,320,0,0,300,20,0,0
전라남도,영암군,삼호읍,용앙리,A52689701,한양파크빌1차,"18,966","16,892","18,910","13,587",3,160,0,0,160,0,0,0
대구광역시,수성구,,신매동,A70617011,아이프라임신매,"50,809","49,757","35,778","27,898",6,309,0,0,249,1,59,0
부산광역시,연제구,,연산동,A61181004,연산부전타워아파트,"21,477","21,271","21,477","16,106",2,214,0,80,115,1,18,0
부산광역시,동래구,,명장동,A60780703,명장국제파크아파트,"27,253","23,725","23,761","18,159",1,255,0,130,125,0,0,0
충청북도,청주서원구,,개신동,A36172709,개신3단지그린빌아파트,"72,607","68,003","72,354","52,744",6,634,0,0,634,0,0,0
서울특별시,동작구,,사당동,A15681502,사당우성2단지,"121,345","113,438","121,006","91,615",8,"1,080",0,405,285,0,390,0
인천광역시,계양구,,효성동,A40783206,효성동2차유승아파트,"38,487","20,689","30,010","20,689",4,350,0,350,0,0,0,0
경기도,수원팔달구,,화서동,A44287004,화서꽃뫼노을마을풍림,"27,309","22,238","22,192","16,489",2,275,0,275,0,0,0,0
